config,group,case_count,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,ragas_id_context_precision,ragas_id_context_recall,mean_latency_ms,p95_latency_ms
no_reranker,diagnostic:product_specific,18,0.3888888888888889,0.7777777777777778,0.9444444444444444,0.9444444444444444,0.5944444444444444,0.3055555555555556,0.6666666666666666,0.8611111111111112,0.9444444444444444,0.3888888888888889,0.2962962962962963,0.23333333333333334,0.13333333333333336,0.13333333333333336,0.9444444444444444,175.5553666666856,228.63381500078495
no_reranker,diagnostic:temporal,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.7204365079365079,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.6111111111111112,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,200.66376111092015,282.315440000184
no_reranker,question_type:adverse_reaction,8,0.875,1.0,1.0,1.0,0.9375,0.4375,0.9375,1.0,1.0,0.875,0.625,0.4,0.2,0.2,1.0,231.26297500016335,349.8792150005556
no_reranker,question_type:fact_specific,10,0.4,0.7,0.9,0.9,0.5900000000000001,0.35,0.7,0.9,0.9,0.4,0.3,0.22000000000000003,0.11000000000000001,0.11000000000000001,0.9,216.34624000043914,273.92846000107056
no_reranker,question_type:monitoring,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,0.1,1.0,172.6096499992309,199.33168499878775
no_reranker,question_type:negative_out_of_scope,0,,,,,,,,,,,,,,,,163.51240909088202,210.6614499994066
no_reranker,question_type:paraphrase,6,0.5,0.5,0.8333333333333334,0.8333333333333334,0.5750000000000001,0.5,0.5,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8333333333333334,194.65295000069696,212.5957000012022
no_reranker,question_type:preparation,10,0.4,0.8,1.0,1.0,0.6283333333333333,0.35,0.75,0.95,1.0,0.4,0.3,0.22000000000000003,0.12000000000000002,0.12000000000000002,1.0,210.95489000026646,306.4070800003719
no_reranker,question_type:procedure,6,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.047619047619047616,0.5714285714285714,0.7023809523809524,0.8333333333333334,0.3333333333333333,0.38888888888888884,0.3333333333333333,0.21666666666666667,0.21666666666666667,0.8333333333333334,187.39257142884267,226.78061000069647
no_reranker,question_type:product_specific,18,0.3888888888888889,0.7777777777777778,0.9444444444444444,0.9444444444444444,0.5944444444444444,0.3055555555555556,0.6666666666666666,0.8611111111111112,0.9444444444444444,0.3888888888888889,0.2962962962962963,0.23333333333333334,0.13333333333333336,0.13333333333333336,0.9444444444444444,175.5553666666856,228.63381500078495
no_reranker,question_type:temporal,18,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.9444444444444444,0.7204365079365079,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.9444444444444444,0.6111111111111112,0.2962962962962963,0.21111111111111114,0.1277777777777778,0.1277777777777778,0.9444444444444444,200.66376111092015,282.315440000184
current_reranker,diagnostic:colloquial,15,0.4,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.586111111111111,0.3,0.7333333333333333,0.7666666666666667,0.8666666666666667,0.4,0.28888888888888886,0.18666666666666668,0.11333333333333334,0.11333333333333334,0.8666666666666667,275.10754666691355,365.3594000007615
current_reranker,diagnostic:exact_medical_or_product_term,15,0.3333333333333333,0.7333333333333333,0.8,0.8666666666666667,0.525,0.26666666666666666,0.6333333333333333,0.7,0.8333333333333334,0.3333333333333333,0.24444444444444444,0.16000000000000003,0.10666666666666667,0.10666666666666667,0.8333333333333334,245.06001333308328,308.98167999985156
current_reranker,diagnostic:long_natural_language,3,0.0,0.6666666666666666,1.0,1.0,0.3611111111111111,0.0,0.6666666666666666,0.7142857142857143,0.7619047619047619,0.0,0.2222222222222222,0.20000000000000004,0.13333333333333333,0.13333333333333333,0.7619047619047619,235.8500666665956,306.08138000097824
